original,canonical_name,confidence,rule,reasons,ambiguity,requires_review
DOWN-INNER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN-LEFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN-MENU,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN-RIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN-SOFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/CH-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/FAV,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/SEL-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/SELECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN/VOL-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN1,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 1"",""alias versionado corresponde a direction_down""]",True,True
DOWN10,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 10"",""alias versionado corresponde a direction_down""]",True,True
DOWN11,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 11"",""alias versionado corresponde a direction_down""]",True,True
DOWN12,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 12"",""alias versionado corresponde a direction_down""]",True,True
DOWN13,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 13"",""alias versionado corresponde a direction_down""]",True,True
DOWN14,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 14"",""alias versionado corresponde a direction_down""]",True,True
DOWN15,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 15"",""alias versionado corresponde a direction_down""]",True,True
DOWN16,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 16"",""alias versionado corresponde a direction_down""]",True,True
DOWN2,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 2"",""alias versionado corresponde a direction_down""]",True,True
DOWN3,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 3"",""alias versionado corresponde a direction_down""]",True,True
DOWN4,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 4"",""alias versionado corresponde a direction_down""]",True,True
DOWN5,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 5"",""alias versionado corresponde a direction_down""]",True,True
DOWN6,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 6"",""alias versionado corresponde a direction_down""]",True,True
DOWN7,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 7"",""alias versionado corresponde a direction_down""]",True,True
DOWN8,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 8"",""alias versionado corresponde a direction_down""]",True,True
DOWN9,direction_down,0.58,numbered_alias,"[""sufixo numérico detectado: 9"",""alias versionado corresponde a direction_down""]",True,True
DOWNA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWNV,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWNV/PIP_SELECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_(-),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_(RT_TOP),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_(V),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_ARROW,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_ARROW/PAGE-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_CH-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_CURSOR,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_CURSOR_A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_Channel,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_DPAD,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_LEFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_LIGHTS,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_RIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_RW,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_T0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_T1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_V,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_Volume,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DOWN_X10,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DP1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DP2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DP3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPCMODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_LEFT_1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_LEFT_2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_LEFT_<,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_LEFT_>,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_RIGHT_1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_RIGHT_2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_RIGHT_<,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPC_RIGHT_>,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPLII,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPLII_M+THX_T0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPLII_M+THX_T1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPLII_MUZ_T0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPLII_MUZ_T1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPL_II,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPSS+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPSS-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPSS_+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPSS_-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPSS_<,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPSS_>,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPad_Down,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPad_Left,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPad_Right,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DPad_Up,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DR+_ARCHIVE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRAG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRAG_ON/OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRAMA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRANGE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRAWER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRC/CINEMATION,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRC/SSE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRC_MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DREAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRECT_NAV,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRIVE SELECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRIVE/SELECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRIVE_SELECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DROITE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DRY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DR_COMP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSDNative,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSGX,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSI,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSIC_SKIP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSIC_SKIP_+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSKIP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 4,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 5,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 7,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 8,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP 9,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP CENTRE MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP CNCT VIDEO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP Down,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP EFFECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP EFFECT POWER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP HALL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP MONO MOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP PRO LOGIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP PRO LOGIC ENH.,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP ROCK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP SIM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP TEST,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP Up,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'1'PRO LOGIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'10'HALL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'2'ENHANCED,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'3'70MM MOVIE TH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'4'TV THEATER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'5'SPORTS,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'6'STADIUM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'7'ROCK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'8'JAZZ CLUB,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-'9'CHURCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-ARENA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-CATHEDRAL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-EFFECT POWER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-EFFECT+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-EFFECT-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-JAZZ,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-PERIMETER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-ROOM-LRG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-ROOM-MED,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-ROOM-SMALL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-STADIUM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-THEATER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-WALL-HARD,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-WALL-MED,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP-WALL-SOFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP/SUR,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP4,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_11CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_2-CHANNEL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_2CH_DIRECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_2CH_ENHANCER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_2CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_3D_DSP_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_3D_DSP_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_6/7CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_6CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_7CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_8CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_9CH_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ACTION_GAME,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ADVENTURE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_AMSTERDAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ARENA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_AUTO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BMSTEREOTOG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BM_3_BEAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BM_5CHSTEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BM_5_BEAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BM_MY_BEAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BM_MY_SURR.,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BM_ST+3_BEA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_BOTTOM_LINE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CDSP_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CDSP_SPORTS,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CELLAR_CLUB,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CHAMBER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CHURCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CHURCH_FREIBU,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CHURCH_ROYAU,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CHURCH_TOKYO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CLASSICAL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CLASSICAL/OPERA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_CONCERT_HALL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DECODE_AUTO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DECODE_DTS,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DIRECT_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DIRECT_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DIRECT_STEREO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DISCO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DJ,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DOLBY_EX,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DRAMA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_DRAMATIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EFFECT_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EFFECT_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EFFECT_TOGGLE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHANCED,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHANCER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHANCER2CH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHANCER_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHANCER_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHANCER_XCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENHA_STRAIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_ENTERTAINMENT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/6.1/ES_AUTO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/6.1/ES_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/6.1/ES_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/ES_AUTO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/ES_MTRX,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/ES_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX/ES_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EXTENDED_SURR,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX_ES_AUTO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX_ES_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX_ES_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX_SURR._AUTO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_EX_SURR._OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_FREIBURG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_FRIEBURG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_GAME,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_GAME_(ACTION),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_GENERAL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_AMSTERDA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_C,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_D,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_E,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_F,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_FRANKFURT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_G,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_H,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_IN_MUNICH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_IN_VIENNA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_MUNICH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_MUNICH_A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_MUNICH_B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_STUTTGART,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_USA_A,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_USA_B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_VIENNA,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_HALL_VIENNE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_JAZZ_CLUB,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_LEVEL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_LEVEL_TOGGLE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_LIVE/CLUB,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_LIVE_CONCERT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_LOFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_MONO_MOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_MOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_MOVIE_STANDARD,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_MUNICH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_MUSIC/VIDEO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_MUSIC_VIDEO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_M_ENHAN_OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_M_ENHAN_ON,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_M_ENHAN_TOG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
DSP:_NEO/6_MOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
