original,canonical_name,confidence,rule,reasons,ambiguity,requires_review
(Multi ch source) DTS-ES Neo:6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) DTS-ES discrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) DTS-ES matrix,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source)+ PRO LOGIC2x MOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source)+ PRO LOGIC2x MUSIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+DOLBYEX,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+PROLOGIC2xMOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+PROLOGIC2xMUSIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+PROLOGIC2zHEIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+WIDESURROUNDMOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+WIDESURROUNDMUSIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ES8chdiscrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESNeo:6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESNeo:X,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESdiscrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESmatrix,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DependingonSource,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(RESERVED),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SCAN)_X2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)AUTO_PRESET,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)CLOCK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)DISPLAY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)EDIT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)ENTER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)INTRO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)PROGRAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)RANDOM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)REPEAT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)SYNCHRO_REC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)TIMER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)TIMER_ON/OFF,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)FRQ._DIRECT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_4,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_5,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_7,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_8,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_9,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_AM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_CLEAR,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_FM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_MEMO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_PRE_DOWN-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_PRE_SCAN,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_PRE_UP+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_T-MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_TUNING_+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TUNER-1)_TUNING_-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_4,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_5,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_7,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_8,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_9,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_<,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_>,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_AUDIO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_BLUE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_BOUQUET_+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_BOUQUET_-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_CHANNEL_V,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_CHANNEL_^,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_DOWN,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_EXIT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_GREEN,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_HELP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_INFO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_LEFT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_MUTE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_OK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_POWER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_RADIO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_RED,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_RIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_TEXT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_TV(SMALL_BLACK),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_UP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_VIDEO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_VOL+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_VOL-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(TV)_YELLOW,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(VCR)_CHANNEL_V,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(VCR)_CHANNEL_^,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(VCR)_POWER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(_--_),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(blank),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(raw),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
* / audio,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
* Text,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
**,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
***,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
****,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*****,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*-1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*-2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*-FORMAT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*/C,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*/SSM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*Loc-1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*Loc-2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*Loop,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*Monitor,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*Pause Off,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*Pause On,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*_(STAR),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*_CLEAR,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*_EPG,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*_FORMAT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__4,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__5,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__7,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__8,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__9,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__CHAN_+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__CHAN_-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__ELAN,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__ENTER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__MUTE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__PLAY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__RECALL,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__SKIP_+,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__SKIP_-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
*__STOP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
