path,expected_classification,predicted_classification,predicted_confidence,reference_rule_id,reference_evidence,matched,review_reason
ACs/Friedrich/Friedrich_4235h.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Friedrich"", ""category_segment"": ""ACs"", ""commercial_model"": ""4235h"", ""filename"": ""Friedrich_4235h""}",False,predição diverge da regra silver
ACs/Friedrich/Friedrich_AKB73756214.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Friedrich"", ""category_segment"": ""ACs"", ""commercial_model"": ""AKB73756214"", ""filename"": ""Friedrich_AKB73756214""}",False,predição diverge da regra silver
ACs/Frigidaire/Frigidaire_RG15D_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Frigidaire"", ""category_segment"": ""ACs"", ""commercial_model"": ""RG15D_AC"", ""filename"": ""Frigidaire_RG15D_AC""}",False,predição diverge da regra silver
ACs/Fujidenzo/Fujidenzo_FEA5001_AC.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Fujidenzo"", ""category_segment"": ""ACs"", ""commercial_model"": ""FEA5001_AC"", ""filename"": ""Fujidenzo_FEA5001_AC""}",False,predição diverge da regra silver
ACs/GREE/Gree_KFR-70G-A1.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""GREE"", ""category_segment"": ""ACs"", ""commercial_model"": ""KFR-70G-A1"", ""filename"": ""Gree_KFR-70G-A1""}",False,predição diverge da regra silver
ACs/GoodHome/GoodHome_FDP15.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""GoodHome"", ""category_segment"": ""ACs"", ""commercial_model"": ""FDP15"", ""filename"": ""GoodHome_FDP15""}",False,predição diverge da regra silver
ACs/Haier/Haier_AC_AS18GD3HRA.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Haier"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_AS18GD3HRA"", ""filename"": ""Haier_AC_AS18GD3HRA""}",False,predição diverge da regra silver
ACs/Haier/Haier_AC_HPD10XCM-LW.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Haier"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_HPD10XCM-LW"", ""filename"": ""Haier_AC_HPD10XCM-LW""}",False,predição diverge da regra silver
ACs/Haier/Haier_AC_HWE08XCR-L.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Haier"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_HWE08XCR-L"", ""filename"": ""Haier_AC_HWE08XCR-L""}",False,predição diverge da regra silver
ACs/Hisense/Hisense_DG11J1-99_celsius.ir,specific_device,device_family,0.62,specific.brand_model_filename.v1,"{""brand_segment"": ""Hisense"", ""category_segment"": ""ACs"", ""commercial_model"": ""DG11J1-99_celsius"", ""filename"": ""Hisense_DG11J1-99_celsius""}",False,predição diverge da regra silver
