record_id,path,filename,original_category,original_brand,suggested_model,signal_count,command_names,protocols,addresses,current_classification,current_confidence,current_reasons,possible_problems,selection_reasons
42231d5698f235ed,ACs/COTech/COTech_MPPH-08CRN7-QB6_AC.ir,COTech_MPPH-08CRN7-QB6_AC.ir,ACs,COTech,MPPH-08CRN7-QB6_AC,13,"[""POWER_ON"", ""Off"", ""TEMP+"", ""TEMP-"", ""MODE_AUTO"", ""MODE_COOL"", ""MODE_DRY"", ""MODE_FAN"", ""FAN_AUTO"", ""FAN_LOW"", ""FAN_HIGH"", ""LED"", ""SLEEP""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
f01255c922d85f8e,ACs/Carrier/Carrier_orlen_ac.ir,Carrier_orlen_ac.ir,ACs,Carrier,orlen_ac,6,"[""0n"", ""Mod"", ""Up"", ""Dow"", ""Went"", ""air""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
3af198de4260b1a9,ACs/Chigo/Chigo_CS-21H3A-B155AF.ir,Chigo_CS-21H3A-B155AF.ir,ACs,Chigo,CS-21H3A-B155AF,49,"[""Off"", ""Cool_16"", ""Cool_17"", ""Cool_18"", ""Cool_19"", ""Cool_20"", ""Cool_21"", ""Cool_22"", ""Cool_23"", ""Cool_24"", ""Cool_25"", ""Cool_26"", ""Dry"", ""Heat_32"", ""Heat_31"", ""Heat_30"", ""Heat_29"", ""Heat_28"", ""Heat_27"", ""Heat_26"", ""Heat_25"", ""Heat_24"", ""Heat_23"", ""Heat_22"", ""Heat_21"", ""Heat_20"", ""Fan_auto"", ""Fan_high"", ""Fan_mid"", ""Fan_low"", ""Auto_16"", ""Auto_17"", ""Auto_18"", ""Auto_19"", ""Auto_20"", ""Auto_21"", ""Auto_22"", ""Auto_23"", ""Auto_24"", ""Auto_25"", ""Auto_26"", ""Auto_27"", ""Auto_28"", ""Auto_29"", ""Auto_30"", ""Auto_31"", ""Auto_32"", ""Cool_16_turbo"", ""Heat_32_turbo""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""muitos nomes compartilham a mesma intenção"", ""nomes de comandos reais não chegaram ao classificador"", ""sequência numerada pode indicar codeset ou bruteforce""]","[""50 nomes ou comandos com sequências numéricas"", ""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
3548f0c853ab4b87,ACs/Chigo/Chigo_KRF-51G_79F.ir,Chigo_KRF-51G_79F.ir,ACs,Chigo,KRF-51G_79F,24,"[""Off"", ""Cool_16"", ""Cool_17"", ""Cool_18"", ""Cool_19"", ""Cool_20"", ""Cool_21"", ""Cool_22"", ""Cool_23"", ""Cool_24"", ""Heat_22"", ""Heat_23"", ""Heat_24"", ""Heat_25"", ""Heat_26"", ""Heat_27"", ""Heat_28"", ""Heat_29"", ""Heat_30"", ""Auto"", ""Fan_16"", ""Fan_23"", ""Fan_30"", ""Dry""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""muitos nomes compartilham a mesma intenção"", ""nomes de comandos reais não chegaram ao classificador"", ""sequência numerada pode indicar codeset ou bruteforce""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
20e6d4c2ebe283d0,ACs/Ciatronic/Ciatronic_AC.ir,Ciatronic_AC.ir,ACs,Ciatronic,AC,1,"[""TEMP-""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
736ec9b542d5cce1,ACs/Comfort_Aire/Comfort_Aire_RG57A6.ir,Comfort_Aire_RG57A6.ir,ACs,Comfort_Aire,RG57A6,16,"[""On"", ""Off"", ""Mode Auto"", ""Mode Cool"", ""Mode Dry"", ""Mode Heat"", ""Mode Fan"", ""Sleep"", ""Turbo"", ""Self Clean"", ""LED"", ""Follow Me"", ""Swing"", ""Direct"", ""Silence FP"", ""Unsilence""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
d57764275e9f7424,ACs/Corlitec/Cortlitec_portable_ac.ir,Cortlitec_portable_ac.ir,ACs,Corlitec,Cortlitec_portable_ac,11,"[""POWER"", ""High"", ""Low"", ""TEMP+"", ""TEMP-"", ""Cool"", ""Dry"", ""Fan"", ""Sleep"", ""Celcius_farenheit"", ""Timer""]","[""NECext""]","[""10 E7 00 00""]",specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador"", ""protocolos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
44f3b68017bf3fec,ACs/Daikin/Daikin_AC.ir,Daikin_AC.ir,ACs,Daikin,AC,5,"[""POWER"", ""Swing_off"", ""Swing_on"", ""16_celcius"", ""Fan_3""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
e12d2fa31a9c3d27,ACs/Daikin/Daikin_AC_industrial_TB.ir,Daikin_AC_industrial_TB.ir,ACs,Daikin,AC_industrial_TB,2,"[""Off"", ""POWER""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
9a549b51c190b2c0,ACs/Daikin/Daikin_AC_unknownModel.ir,Daikin_AC_unknownModel.ir,ACs,Daikin,AC_unknownModel,4,"[""Cool_25_slow"", ""Off"", ""Auto_25_slow"", ""Auto_25_auto""]",[],[],specific_device,0.72,"[""modelo identificável e conjunto coerente""]","[""modelo de baixa confiança foi tratado como evidência estrutural"", ""nomes de comandos reais não chegaram ao classificador""]","[""50 registros com conflitos ou problemas"", ""50 specific_device determinísticos""]"
