original_name,count,example_paths,canonical_name,confidence,reason,ambiguity
PLAY,2680,"[""CD_Players/Sony/SONY_minidisk-deck.ir"",""CD_Players/Sony/Sony_CFD-S35CP.ir"",""Cable_Boxes/EVO/EVO4.ir"",""DVB-T/Tilview/TILVIEW_DVB-T_2.ir"",""DVD_Players/LG/LG_DKS-6100Q.ir""]",play,0.99,alias versionado corresponde a play,False
MUTE,2583,"[""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir"",""Audio_and_Video_Receivers/Yamaha/Yamaha_RAV203_V473170_US.ir"",""Blu-Ray/LG/LG_AKB73775801.ir"",""Blu-Ray/LG/LG_LHB655.ir"",""Blu-Ray/Oppo/OPPO_BDP93.ir""]",mute,0.99,alias versionado corresponde a mute,False
PAUSE,2393,"[""CD_Players/Sony/SONY_minidisk-deck.ir"",""CD_Players/Sony/Sony_CFD-S35CP.ir"",""DVB-T/Tilview/TILVIEW_DVB-T_2.ir"",""Laserdisc/Pioneer/Pioneer_CU-DV027.ir"",""Laserdisc/Pioneer/Pioneer_Elite_CLD_99.ir""]",pause,0.99,alias versionado corresponde a pause,False
ENTER,2094,"[""Audio_and_Video_Receivers/Marantz/Marantz_SR_7009_(RC026SR).ir"",""Audio_and_Video_Receivers/Onkyo/Onkyo_RC866M_Receiver.ir"",""Audio_and_Video_Receivers/Sony/Sony_RM-AAU130_AV.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""Car_Multimedia/DVD_Players/Toyota/TOYOTA_SIENNA-2011-2014.ir""]",ok,0.99,alias versionado corresponde a ok,False
UP,1820,"[""ACs/Eberg/Eberg_RIO_R29E1.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Marantz/Marantz_SR_7009_(RC026SR).ir"",""Audio_and_Video_Receivers/SMSL/SMSL_RC-8C.ir"",""Audio_and_Video_Receivers/Sony/Sony_RMT-AA400U.ir""]",direction_up,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_up,True
DOWN,1794,"[""ACs/Eberg/Eberg_RIO_R29E1.ir"",""Audio_and_Video_Receivers/Marantz/Marantz_SR_7009_(RC026SR).ir"",""Audio_and_Video_Receivers/SMSL/SMSL_RC-8C.ir"",""Audio_and_Video_Receivers/Sony/Sony_RM-AAU130_AV.ir"",""Audio_and_Video_Receivers/Sony/Sony_RMT-AA400U.ir""]",direction_down,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_down,True
LEFT,1699,"[""Audio_and_Video_Receivers/Marantz/Marantz_SR_7009_(RC026SR).ir"",""Audio_and_Video_Receivers/Pyle/Pyle_P2203ABTU.ir"",""Audio_and_Video_Receivers/SMSL/SMSL_RC-8C.ir"",""Audio_and_Video_Receivers/Sony/Sony_RM-AAU130_AV.ir"",""Audio_and_Video_Receivers/Sony/Sony_RMT-AA400U.ir""]",direction_left,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_left,True
RIGHT,1696,"[""Audio_and_Video_Receivers/Marantz/Marantz_SR_7009_(RC026SR).ir"",""Audio_and_Video_Receivers/Pyle/Pyle_P2203ABTU.ir"",""Audio_and_Video_Receivers/SMSL/SMSL_RC-8C.ir"",""Audio_and_Video_Receivers/Sony/Sony_RM-AAU130_AV.ir"",""Audio_and_Video_Receivers/Sony/Sony_RMT-AA400U.ir""]",direction_right,0.55,nome depende do contexto do controle; alias versionado corresponde a direction_right,True
CH+,1480,"[""Cable_Boxes/ARRIS/ARRIS_VIP_4302.ir"",""Cable_Boxes/Arcadyan/Arcadyan_HMB2260.ir"",""Cable_Boxes/BOUYGUES/Bbox_4K.ir"",""Cable_Boxes/Cogeco/Cogeco_Cable_Box_CAN.ir"",""Cable_Boxes/DIRECTV/DIRECTV.ir""]",channel_up,0.99,alias versionado corresponde a channel_up,False
CH-,1461,"[""Audio_and_Video_Receivers/Yamaha/Yamaha_RAV203_V473170_US.ir"",""Cable_Boxes/ARRIS/ARRIS_VIP_4302.ir"",""Cable_Boxes/Arcadyan/Arcadyan_HMB2260.ir"",""Cable_Boxes/BOUYGUES/Bbox_4K.ir"",""Cable_Boxes/Cogeco/Cogeco_Cable_Box_CAN.ir""]",channel_down,0.99,alias versionado corresponde a channel_down,False
