original_name,count,example_paths,canonical_name,confidence,reason,ambiguity
BK005_SUB+,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_SUB-,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_SURROUND,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_TAPE,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_TREBLE+,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_TREBLE-,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_TV,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_UP,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_V1,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_V2,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_VOLUME+,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_VOLUME-,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BK005_Z,3,"[""_Converted_/CSV/B/BnK_Components/Pre-Amplifier/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Receiver/203_67.ir"",""_Converted_/CSV/B/BnK_Components/Theater_Preamplifier/203_67.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BLACK_LEVEL,3,"[""_Converted_/Pronto/S/Sony/VPL-HW30AES.ir"",""_Converted_/Pronto/S/Sony/VPL-VW85.ir"",""_Converted_/Pronto/S/Sony/VPL-VW95ES.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BLANK-1,3,"[""_Converted_/Pronto/D/DMX/DCT-2224.ir"",""_Converted_/Pronto/E/Escient/TUNEBASE_100_KEYBOARD.ir"",""_Converted_/Pronto/S/Scientific_Atlanta/DIGITAL_MUSIC_EXPRESS.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BLANK-2,3,"[""_Converted_/Pronto/D/DMX/DCT-2224.ir"",""_Converted_/Pronto/E/Escient/TUNEBASE_100_KEYBOARD.ir"",""_Converted_/Pronto/S/Scientific_Atlanta/DIGITAL_MUSIC_EXPRESS.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BLANK_SCREEN,3,"[""_Converted_/Pronto/D/Dell/1209S-1409X-1609WX_Projectors.ir"",""_Converted_/Pronto/D/Dell/1409X.ir"",""_Converted_/Pronto/D/Dell/4210X.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BLEND,3,"[""_Converted_/IR_Plus/N/NAD/C446.ir"",""_Converted_/Pronto/N/NAD/C446.ir"",""_Converted_/Pronto/N/NAD/T748.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BLU,3,"[""_Converted_/CSV/G/Grundig/Unknown_RC-TP3/8_-1.ir"",""_Converted_/CSV/O/One_For_All/Unknown_URC-3440/5,-1.ir"",""_Converted_/CSV/T/Topfield/Unknown_TF4000PVR/32,-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Blu-ray,3,"[""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir"",""Audio_and_Video_Receivers/Marantz/Marantz_RC042SR.ir"",""Audio_and_Video_Receivers/Marantz/Marantz_SR_7009_(RC026SR).ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Blue 1,3,"[""LED_Lighting/ONN-Lighting/ONN_LED.ir"",""LED_Lighting/Unknown/Led_Remote.ir"",""Miscellaneous/biOrb/Classic_15_Aquarium.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Blue2,3,"[""LED_Lighting/Gako/RGB_CONTROLLER_5050SMD.ir"",""LED_Lighting/HGomx/HGomx_Saturn_LED_Lamp.ir"",""LED_Lighting/Tzumi/Tzumi_LED_Colorbar.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Blue_4,3,"[""LED_Lighting/Lethe/Lethe_RGB_LED_full.ir"",""LED_Lighting/Unknown/44_LED_Strip.ir"",""TVs/LG/LG_AKB75675311.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Blue_d,3,"[""TVs/Hisense/Hisense_EN3Y39H.ir"",""TVs/Samsung/Samsung_BN59-01315B.ir"",""TVs/Samsung/Samsung_BN59-01315J.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BNR,3,"[""_Converted_/CSV/S/Sony/DVD_Player/26,73.ir"",""_Converted_/CSV/S/Sony/Unknown_RMT-D129A/26,73.ir"",""_Converted_/Pronto/S/Sony/DVP-S400D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BONUS_VIEW,3,"[""_Converted_/Pronto/S/Samsung/BD-P1500.ir"",""_Converted_/Pronto/S/Samsung/BD_D7500.ir"",""_Converted_/Pronto/S/Samsung/BD_Series.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BOOK_MARK,3,"[""_Converted_/CSV/H/Hitachi/DVD_Player/102_0.ir"",""_Converted_/CSV/S/Sony/DVD_Player/26,73.ir"",""_Converted_/Pronto/S/Sony/DVP-S550D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BOOST,3,"[""Fans/Atomberg/Atomberg_fan.ir"",""_Converted_/CSV/F/Fosgate/Surround_Processor/132_66.ir"",""_Converted_/IR_Plus/B/BUSH/Soundbar.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BOTTOM_TRIGGER,3,"[""_Converted_/Pronto/P/Panasonic/PTL5-556U.ir"",""_Converted_/Pronto/P/Panasonic/PTL595U.ir"",""_Converted_/Pronto/P/Panasonic/PTL795U.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BOX,3,"[""_Converted_/CSV/P/Pace/Unknown_DS620/132,60.ir"",""_Converted_/Pronto/O/Onkyo/TXSR-700.ir"",""_Converted_/Pronto/S/Sony/BR-700.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
boxoffice,3,"[""_Converted_/CSV/F/Foxtel/Unknown_Digital/0_0.ir"",""_Converted_/CSV/P/Pace/Unknown_DS420/16,80.ir"",""_Converted_/CSV/P/Pace/Unknown_Digital/0,0.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BOXOFFICE,3,"[""_Converted_/IR_Plus/A/AMSTRAD/DVR.ir"",""_Converted_/IR_Plus/P/PACE/DC420N.ir"",""_Converted_/IR_Plus/S/SAMSUNG/HDSKY.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BR,3,"[""LED_Lighting/Monster_Basics/Monster_Color_Flow_Neon.ir"",""LED_Lighting/Xtreme_Lit_LEDs/XTREME_3_2FT_LED_strip.ir"",""_Converted_/CSV/K/KEY_DIGITAL/Matrix_Switcher/130_19.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Breeze,3,"[""Fans/Honeywell/Honeywell_Fan_HY041w.ir"",""Fans/Woozoo/Woozoo_Fan.ir"",""Fans/Woozoo/Woozoo_SC15T.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BRIGHT UP,3,"[""LED_Lighting/Briloner/Briloner_Leuchten_14133506L.ir"",""LED_Lighting/Briloner/Briloner_Leuchten_LED.ir"",""LED_Lighting/Briloner/LED_Ceiling_Light_Briloner_Leuchten.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Bright_Down,3,"[""LED_Lighting/Jialine_Candle/10-key_Candle.ir"",""LED_Lighting/KODA/KODA_LM030008-1.ir"",""LED_Lighting/V-TAC/V-TAC_VT5050_LED_Strip.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Bright_Up,3,"[""LED_Lighting/Jialine_Candle/10-key_Candle.ir"",""LED_Lighting/KODA/KODA_LM030008-1.ir"",""LED_Lighting/V-TAC/V-TAC_VT5050_LED_Strip.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BRIGHT_UP,3,"[""_Converted_/CSV/N/NEC/Unknown_RU-1220S/24,247.ir"",""_Converted_/Pronto/N/NEC/GT2000.ir"",""_Converted_/Pronto/N/NEC/ISS-6020.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BROADCAST,3,"[""_Converted_/CSV/J/JVC/Unknown_RM-C410/3_-1.ir"",""_Converted_/CSV/Y/Yamaha/DAT/128,55.ir"",""_Converted_/CSV/Y/Yamaha/Music_Server/128_55.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
browse,3,"[""_Converted_/CSV/K/konig/Unknown_konig/128_99.ir"",""_Converted_/CSV/P/Pace/Unknown_DI4010I/10,-1.ir"",""_Converted_/CSV/P/Palcom/Unknown_DSL-6/192,-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BT_Pair,3,"[""SoundBars/Samsung/Samsung_AH59-02767C.ir"",""SoundBars/Vizio/Vizio_SB3651_E6.ir"",""Speakers/JVC/JVC_D62BM.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-29,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-30,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-31,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-32,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-33,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-34,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-35,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-36,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-37,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-38,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-39,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN-40,3,"[""_Converted_/Pronto/B/Biamp/DRC_4+4.ir"",""_Converted_/Pronto/B/Biamp/PMX84.ir"",""_Converted_/Pronto/B/Biamp/SPM522D.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
BTN_LEFT,3,"[""_Converted_/CSV/S/Samsung/Unknown_BN59-00869A/7,7.ir"",""_Converted_/CSV/S/Sony/Unknown_RM-W101/1,-1.ir"",""_Converted_/CSV/S/Sony/Unknown_RMT-DSC2/26,241.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Bypass,3,"[""_Converted_/CSV/C/CAT/Unknown_CS-907/0_191.ir"",""_Converted_/IR_Plus/P/PARASOUND/Halo-Int.ir"",""_Converted_/Pronto/D/Denon/AVR-1010.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C-DWN,3,"[""_Converted_/CSV/D/DirecTV/DSS/12_-1.ir"",""_Converted_/CSV/D/DirecTV/Receiver_SD/12_-1.ir"",""_Converted_/CSV/Y/Yamaha/Receiver/122_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C._MEMORY,3,"[""_Converted_/CSV/J/JVC/VCR/67_-1.ir"",""_Converted_/Pronto/J/JVC/HRS5300U.ir"",""_Converted_/Pronto/J/JVC/HRS5400U.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C.INDEX,3,"[""_Converted_/CSV/S/Sony/Unknown_RM-D921/17,-1.ir"",""_Converted_/CSV/S/Sony/Unknown_RM-D991/17,-1.ir"",""_Converted_/Pronto/S/Sony/CD_PLAYER_1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C.MEMORY/ADD,3,"[""_Converted_/CSV/J/JVC/VCR/67_-1.ir"",""_Converted_/Pronto/J/JVC/HR-6200U.ir"",""_Converted_/Pronto/J/JVC/HRS7300U_VCR.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C/A_SKIP,3,"[""_Converted_/CSV/P/Panasonic/VCR/144,0.ir"",""_Converted_/Pronto/P/Panasonic/PROGRAM_DIRECTOR.ir"",""_Converted_/Pronto/P/Panasonic/PV-VS4820.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C/F,3,"[""ACs/SereneLife/SereneLife_SLPAC8.ir"",""_Converted_/IR_Plus/H/HAIER/HWR05XC6.ir"",""_Converted_/IR_Plus/T/TECTRO/Air Conditioner TP20.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C/R,3,"[""_Converted_/CSV/P/Pioneer/Cable_Box/172,-1.ir"",""_Converted_/Pronto/E/Electronics/USV82.ir"",""_Converted_/Pronto/P/Pioneer/CABLE_BOX.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C_DN,3,"[""_Converted_/CSV/D/Denon/DVD_Player/8_-1.ir"",""_Converted_/CSV/I/Integra/DVD_Player/210_43.ir"",""_Converted_/CSV/S/Sony/Digital_Recorder/26,73.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C_LF,3,"[""_Converted_/CSV/D/Denon/DVD_Player/8_-1.ir"",""_Converted_/CSV/I/Integra/DVD_Player/210_43.ir"",""_Converted_/CSV/S/Sony/Digital_Recorder/26,73.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C_RT,3,"[""_Converted_/CSV/D/Denon/DVD_Player/8_-1.ir"",""_Converted_/CSV/I/Integra/DVD_Player/210_43.ir"",""_Converted_/CSV/S/Sony/Digital_Recorder/26,73.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
C_YELLOW,3,"[""_Converted_/CSV/P/Pinnacle_Systems/Unknown_RC-42D/7,-1.ir"",""_Converted_/Pronto/D/Dream/Dream_Multimedia_-_Dream.ir"",""_Converted_/Pronto/D/Dream/Dream_Multimedia_-_TV.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CABLE/SAT,3,"[""_Converted_/CSV/K/Kenwood/Receiver/184_2.ir"",""_Converted_/Pronto/O/Onkyo/TSXR-607.ir"",""_Converted_/Pronto/Y/Yamaha/RX-Zx-RX-Vx900.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CAL/SET,3,"[""_Converted_/Pronto/C/Chiro/C9R.ir"",""_Converted_/Pronto/K/Kinergetics_Research/C-800_CHIRO_MAIN_ZONE_(EVEN).ir"",""_Converted_/Pronto/K/Kinergetics_Research/C-800_CHIRO_MAIN_ZONE_(ODD).ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Call_answer,3,"[""Car_Multimedia/CD_Players/Kenwood/Kenwood_DMX4704s.ir"",""Car_Multimedia/CD_Players/Kenwood/Kenwood_RC-406.ir"",""Car_Multimedia/CD_Players/Pioneer/Pioneer_DEH_80PRS.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
Call_end,3,"[""Car_Multimedia/CD_Players/Kenwood/Kenwood_DMX4704s.ir"",""Car_Multimedia/CD_Players/Kenwood/Kenwood_RC-406.ir"",""Car_Multimedia/CD_Players/Pioneer/Pioneer_DEH_80PRS.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CANCEL/CLEAR,3,"[""_Converted_/CSV/Y/Yamaha/CD_Player/121,-1.ir"",""_Converted_/CSV/Y/Yamaha/DVD/124_-1.ir"",""_Converted_/CSV/Y/Yamaha/DVD_Player/124_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CANCEL_(CLEAR),3,"[""_Converted_/CSV/Y/Yamaha/DVD_Player/124_-1.ir"",""_Converted_/CSV/Y/Yamaha/Receiver/124_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CAPS-LOCK,3,"[""_Converted_/Pronto/E/Escient/POWER_PLAY.ir"",""_Converted_/Pronto/E/Escient/TUNEBASE_100_KEYBOARD.ir"",""_Converted_/Pronto/E/Escient/TUNEBASE_2000.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
capture,3,"[""_Converted_/CSV/A/Acer/Unknown_RC-802/16_37.ir"",""_Converted_/CSV/B/BORK/Unknown_DV/8_-1.ir"",""_Converted_/CSV/O/Olympus/Unknown_RM-1/134,59.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CARD,3,"[""_Converted_/IR_Plus/O/OPTICUM/X-Series.ir"",""_Converted_/IR_Plus/P/PANASONIC/SA-AK.ir"",""_Converted_/Pronto/S/Sharp/SharpTV.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CASS_PLAY,3,"[""_Converted_/Pronto/D/Denon/(unknown).ir"",""_Converted_/Pronto/D/Denon/UNIVERSAL_REMOTE_CONTROL.ir"",""_Converted_/Pronto/T/TASCAM/CDA-700.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CASS_REW,3,"[""_Converted_/CSV/S/Sherwood/Unknown_sherwood/131,69.ir"",""_Converted_/Pronto/D/Denon/(unknown).ir"",""_Converted_/Pronto/D/Denon/UNIVERSAL_REMOTE_CONTROL.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CB,3,"[""_Converted_/CSV/Y/Yamaha/Receiver/122_-1.ir"",""_Converted_/Pronto/S/Sony/RVP-4010.ir"",""_Converted_/Pronto/S/Sony/VPH-1270Q-PC-1270.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CC_CONVERTER,3,"[""_Converted_/CSV/J/JVC/Receiver/239_-1.ir"",""_Converted_/Pronto/J/JVC/RX-DP20VBK_ZONE_1.ir"",""_Converted_/Pronto/J/JVC/RXDP10V.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD FWD,3,"[""Audio_and_Video_Receivers/Yamaha/Yamaha_AX-396.ir"",""_Converted_/IR_Plus/P/PANASONIC/RAK-RX309W.ir"",""_Converted_/IR_Plus/T/TEAC/RC-1091.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD*,3,"[""_Converted_/Pronto/M/Marantz/PMD350_CD-TAPE_UNIT_(CD_FNX).ir"",""_Converted_/Pronto/M/Marantz/PMD350_CD-TAPE_UNIT_(CD_FNX)_for_RC-5.ir"",""_Converted_/Pronto/M/Marantz/PMD350_CD-TAPE_UNIT_(CD_FNX)_for_RC5.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-DISC,3,"[""_Converted_/IR_Plus/J/JVC/RM-SRX5022U.ir"",""_Converted_/Pronto/K/Kenwood/KRV-8050.ir"",""_Converted_/Pronto/N/NAD/T-760.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-DVD,3,"[""_Converted_/CSV/B/Bose/Lifestyle/186_160.ir"",""_Converted_/CSV/G/Guillemot/Unknown_RemoteWizard-GN-263/134_107.ir"",""_Converted_/IR_Plus/L/LG/DVD 6710CDAL01G.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-FFWD,3,"[""_Converted_/Pronto/C/Carver/DEVICE_CONTROLS_(EVEN).ir"",""_Converted_/Pronto/C/Carver/DEVICE_CONTROLS_(ODD).ir"",""_Converted_/Pronto/T/TASCAM/CD-A700.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-R/TAPE,3,"[""_Converted_/IR_Plus/P/PIONEER/SC27.ir"",""_Converted_/IR_Plus/P/PIONEER/VSX-921.ir"",""_Converted_/Pronto/P/Pioneer/VSX-DSP.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-SKIP+,3,"[""_Converted_/Pronto/N/NAD/MISC.ir"",""_Converted_/Pronto/N/NAD/T-451.ir"",""_Converted_/Pronto/N/NAD/T-760.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-SKIP-,3,"[""_Converted_/Pronto/N/NAD/MISC.ir"",""_Converted_/Pronto/N/NAD/T-451.ir"",""_Converted_/Pronto/N/NAD/T-760.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD-TRK+,3,"[""_Converted_/Pronto/D/Denon/DN-H800.ir"",""_Converted_/Pronto/K/Kenwood/KRV-8050.ir"",""_Converted_/Pronto/T/TASCAM/CD-A700.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD/Theater,3,"[""_Converted_/IR_Plus/E/ELTA/2476.ir"",""_Converted_/IR_Plus/P/PANASONIC/RAK-SC307WM.ir"",""_Converted_/IR_Plus/S/SANSUI/RZ-7700AV.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_7/P,3,"[""_Converted_/CSV/J/JVC/Receiver/179_-1.ir"",""_Converted_/CSV/J/JVC/VCR/179_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_A-B,3,"[""_Converted_/CSV/H/Harman_Kardon/Receiver/128_112.ir"",""_Converted_/CSV/O/Onkyo/CD_Player/210,44.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISC_1,3,"[""_Converted_/CSV/A/Adcom/Pre-Amplifier/26_-1.ir"",""_Converted_/CSV/J/JVC/Receiver/179_-1.ir"",""_Converted_/CSV/J/JVC/Tuner/179_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISC_2,3,"[""_Converted_/CSV/A/Adcom/Pre-Amplifier/26_-1.ir"",""_Converted_/CSV/J/JVC/Receiver/179_-1.ir"",""_Converted_/CSV/J/JVC/Tuner/179_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISC_3,3,"[""_Converted_/CSV/A/Adcom/Pre-Amplifier/26_-1.ir"",""_Converted_/CSV/J/JVC/Receiver/179_-1.ir"",""_Converted_/CSV/J/JVC/Tuner/179_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISC_4,3,"[""_Converted_/CSV/A/Adcom/Pre-Amplifier/26_-1.ir"",""_Converted_/CSV/J/JVC/Receiver/179_-1.ir"",""_Converted_/CSV/J/JVC/Tuner/179_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISC_5,3,"[""_Converted_/CSV/A/Adcom/Pre-Amplifier/26_-1.ir"",""_Converted_/CSV/J/JVC/Receiver/179_-1.ir"",""_Converted_/CSV/J/JVC/Tuner/179_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISC_SCAN,3,"[""_Converted_/CSV/N/Nakamichi/Receiver/103,-1.ir"",""_Converted_/CSV/N/Nakamichi/Tuner/103,-1.ir"",""_Converted_/Pronto/N/Nakamichi/1000MB_CD_PLAYER.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISK_SKIP,3,"[""_Converted_/CSV/Y/Yamaha/Receiver/122_-1.ir"",""_Converted_/CSV/Y/Yamaha/Unknown_RX-V850/122_-1.ir"",""_Converted_/CSV/Y/Yamaha/Unknown_VK38010/122_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DISPLAY,3,"[""_Converted_/CSV/M/Mitsubishi/Receiver/119,-1.ir"",""_Converted_/CSV/O/Onkyo/CD_Player/210,44.ir"",""_Converted_/Pronto/P/Proton/(Multiple).ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_DVD,3,"[""Audio_and_Video_Receivers/Yamaha/Yamaha_AX-396.ir"",""DVD_Players/Bose/Bose_3-2-1_Series_1.ir"",""_Converted_/CSV/B/Bose/Lifestyle/186_160.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_EJECT,3,"[""_Converted_/CSV/A/Arcam/Music_System/20_-1.ir"",""_Converted_/CSV/O/Onkyo/CD_Player/210,44.ir"",""_Converted_/CSV/O/Onkyo/Receiver/210,109.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
CD_FF,3,"[""Audio_and_Video_Receivers/Philips/Philips_FW-M55.ir"",""_Converted_/CSV/A/Akai/Unknown_akai/131_101.ir"",""_Converted_/CSV/Y/Yamaha/Unknown_RAV14/122_-1.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
