record_id,source_path,priority,reasons,original
738d7935efb75281,inventory.csv#2999,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Universal"",""category"":""Converted/CSV"",""command_names"":[],""model"":""1,-1""}"
3fc4a2f8f5ffbb9b,inventory.csv#3000,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Universal"",""category"":""Converted/CSV"",""command_names"":[],""model"":""0,-1""}"
23bd85c4e541f7db,inventory.csv#3001,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Universal"",""category"":""Converted/CSV"",""command_names"":[],""model"":""1,-1""}"
06ea63416c26fea8,inventory.csv#3002,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Universal"",""category"":""Converted/CSV"",""command_names"":[],""model"":""2,-1""}"
38c20b71ae77fd03,inventory.csv#4420,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""_Converted_"",""command_names"":[],""model"":""Power_off""}"
5f07a58198703a6c,inventory.csv#7425,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""CD_Players"",""command_names"":[],""model"":""Unkown_KC-806""}"
cad7aecdcbcac1cc,inventory.csv#7670,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""Handicap_Ceiling_Lifts"",""command_names"":[],""model"":""HANDI_MOVE""}"
dcd29486bfc646e5,inventory.csv#7860,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""44_Button_Generic_LED""}"
f2ae89351ba559af,inventory.csv#7861,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""44_Button_LED""}"
ae6ecf01427515fd,inventory.csv#7862,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""44_LED_Strip""}"
b1179f57c78deb38,inventory.csv#7863,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Christmastree_candle""}"
b174f4eacc51e1f0,inventory.csv#7864,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Closet_LED_3W""}"
9f3c7aacaf2ca5cc,inventory.csv#7865,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Color_Change_Bulb_Remote""}"
28a7b6ea1ab2d339,inventory.csv#7866,high,"[""categoria ambígua ou ausente"",""classificação abaixo do limiar automático ou conflitante"",""marca ambígua ou ausente""]","{""brand"":""Unknown"",""category"":""LED_Lighting"",""command_names"":[],""model"":""Conzept_LED_VoksKogle""}"
