record_id,source_path,classification,suggested_device_type,device_type_confidence,confidence,reasons,conflicts,requires_review
fd526026196c8fe0,inventory.csv#5613,device_family,,0.0,0.58,"[""modelo/família identificável com conjunto amplo""]",[],True
ad54175273a87b27,inventory.csv#5614,device_family,,0.0,0.58,"[""modelo/família identificável com conjunto amplo""]",[],True
3bc44a00478a5df6,inventory.csv#5615,device_family,,0.0,0.58,"[""modelo/família identificável com conjunto amplo""]",[],True
7678ca0ba157f58a,inventory.csv#5616,device_family,,0.0,0.58,"[""modelo/família identificável com conjunto amplo""]",[],True
ebf371094e55d3ca,inventory.csv#5617,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
eb4bbd778f75ef0f,inventory.csv#5618,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f77f568400577504,inventory.csv#5619,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
afb4617eb08114c5,inventory.csv#562,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
c745355da2d550b1,inventory.csv#5620,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
fde83a3bcad6277f,inventory.csv#5621,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
6ff0d892c487c077,inventory.csv#5622,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
e888cd8eb50a44c3,inventory.csv#5623,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
f9d29c7b7c22e224,inventory.csv#5624,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
82bee75beae7b078,inventory.csv#5625,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
af638521f0bdd6ef,inventory.csv#5626,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
aca59e44f60622e4,inventory.csv#5627,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
ca9d3aff92c0a084,inventory.csv#5628,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
9409a74a49c21152,inventory.csv#5629,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
bbbb4bc50a27c325,inventory.csv#563,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
32d6e5b6fbe3c483,inventory.csv#5630,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
fd830dba8be4e6cd,inventory.csv#5631,specific_device,,0.0,0.72,"[""modelo identificável e conjunto coerente""]",[],True
